username,datetime,tweet,cleaned_tweet,target,tweet_compound,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy,second/thirdperson,firstperson,sadness/loneliness,suicidal,primarysupport,troubleconcentrate,worthlessness/guilt,housing,disturbedsleep,occupational,fatigue/lossenergy,weight/appetite,agitation/retardation,topic
robertevans97,16/12/2021 14:27,@arielhelwani @DustinPoirier @NateDiaz209 Big fight   Dustin will want to prove a point   Nate will be the same,big fight dustin want prove point nate,normal,-0.3182,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
flintmorris,16/12/2021 14:27,"@ItsRyanGonzales @100Thieves @RabidDoh @thundoerfist They chose one of the best Naruto openings/songs, big W",they choose one best naruto opening song big,normal,0.6369,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
chardinite,16/12/2021 14:27,@Tinkzorg Gen Z can't wield the mandate of heaven confirmed,gen z not wield mandate heaven confirm,normal,0.5106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ghobubo,16/12/2021 14:27,@JortsTheCat has his own account and 20K followers. NOW who's the sweet potato?,his account follower sweet potato,normal,0.4588,0,0,0.142857143,0.428571429,0.142857143,0.142857143,0,0,0,0.142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,7
mdarahimkhan2,16/12/2021 14:27,@BitKeepOS @NEARProtocol This is a really great and excellent project. Thank you for the opportunity. I hope this project will continue to progress and succesful.  @manirtrader  @MDSHANT57250139  @osman007181  #NEAR #BitKeep,really great excellent project thank you opportunity i hope project continue progress succesful,normal,0.9604,0,0,0.25,0.1875,0.0625,0.3125,0,0,0,0.1875,1,1,0,0,0,0,0,0,0,0,0,0,0,3
divineaslut,16/12/2021 14:27,Beating the odds for another day ;),beat odds another day wink,normal,-0.2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
jbcox3,16/12/2021 14:27,"@CryptoFutureLA_ @SenWarren @Chevron @MarathonPetroCo @SECGov Both sides want to win, both on a personal level and on a party level. They have long stopped caring about working together for the betterment of the country. Yes they are different but different in common ways.",side want win personal level party level they long stop care work together betterment country yes they different different common way,normal,0.7096,0,0,0.142857143,0.428571429,0,0.428571429,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
hooligancrown,16/12/2021 14:27,@TFGmykL @NFTMTG The art is ?????? loving this a lot!!!,art love lot,normal,0.7741,0,0,0.142857143,0,0.142857143,0.285714286,0,0.142857143,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,7
burotukulz,16/12/2021 14:27,"Au Domoni Iko scenery- Driving the coastal route to SF from Santa Cruz, the sun is going down, after leaving the beach, high school lovebirds are on their way home, school starts on Monday and you guys are making the most of whatevers left of the day. #etusznEP",au domoni iko scenery drive coastal route sf santa cruz sun go leave beach high school lovebird their way home school start monday you guy make whatevers leave day,normal,0,0,0,0.133333333,0.2,0.2,0.066666667,0.133333333,0.133333333,0,0.133333333,2,0,0,0,0,0,0,0,0,0,0,0,0,3
abbanwo,16/12/2021 14:27,You are the only one that know this in your mindset.,you one know your mindset,normal,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9
jainpratham2211,16/12/2021 14:27,"@A_Pons_Asinorum @Wonderland_fi @AmbeshShukla02 @Lokeshagar21   The most important thing that I have learnt this year is the Nft space. Just a naive here, still learning :)",important thing i learn year nft space naive still learn smiley,normal,0.4576,0,0,0,0.2,0,0.6,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
chuuteebaby,16/12/2021 14:27,"Previously I really wanted to say this, and this time was right. I totally agree with what the director said, it's not a matter of what happened in 1987, then this drama will have a historical twist or whatever k-netz suspect before, bcz again it's basically all fiction.",previously i really wanted say time right i totally agree director say it not matter happen drama historical twist whatever k netz suspect it basically fiction,normal,0.1328,0.142857143,0,0.285714286,0.142857143,0,0.285714286,0.142857143,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3
zombiearmycraig,16/12/2021 14:27,"@c_swesshausen @thwoopin I looked earlier. One of them is The DuSable in Chicago. I grew up in the suburbs of Chicago. Never been to the DuSable, but have heard of it.",i look earlier one them dusable chicago i grow suburb chicago never dusable hear it,normal,0,0,0,0.25,0.25,0,0.25,0,0,0,0.25,2,2,0,0,0,0,0,0,0,0,0,0,0,3
john70030932,16/12/2021 14:27,Its all the chem trails!,its chem trail,normal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
samoan_islander,16/12/2021 14:27,"track 2 - I like the beat, but Im not sure if it makes the cut tbh. I think theres stronger songs to come, so stay tuned ?? #etusznEP",track i like beat i not sure it make cut honest i think strong song come stay tune,normal,0.1071,0.125,0.125,0.125,0.125,0,0.125,0,0.125,0.125,0.125,1,3,0,0,0,0,0,0,0,0,0,0,0,9
